Template,Party,N_Total,N_Valid,N_Error_Saving,N_Error_Not_All,N_NaN_Predictions,N_NaN_GroundTruth,Pct_Usable,Accuracy,Macro_F1,Micro_F1,Weighted_F1
run_instruct_only_20250926_103055,afd,2069,1811,0,256,146,2,87.53,0.0066,0.0029,0.0066,0.004
run_instruct_only_20250926_103055,fdp,1594,1373,0,219,98,40,86.14,0.0051,0.0009,0.0051,0.0027
run_instruct_only_20250926_103055,sswb,2336,1704,0,604,76,68,72.95,0.007,0.0018,0.007,0.0016
run_instruct_only_20250926_103055,bsw,1354,691,0,661,340,3,51.03,0.0,0.0,0.0,0.0
run_instruct_only_20250926_103055,linke,2449,1143,0,1251,175,83,46.67,0.0052,0.0007,0.0052,0.0063
run_instruct_only_20250926_103055,cdu,2392,995,0,1378,124,21,41.6,0.005,0.0008,0.005,0.0072
run_instruct_only_20250926_103055,gruene,3550,1721,0,1772,690,103,48.48,0.0035,0.0013,0.0035,0.0033
run_instruct_only_20250926_103055,spd,2140,1110,0,1030,924,35,51.87,0.0054,0.0002,0.0054,0.0001
run_Few_shot_instruct_20250926_103055,afd,2069,1800,0,267,159,2,87.0,0.0167,0.0032,0.0167,0.0097
run_Few_shot_instruct_20250926_103055,fdp,1594,1422,0,170,88,40,89.21,0.007,0.0011,0.007,0.0036
run_Few_shot_instruct_20250926_103055,sswb,2336,1574,0,734,161,68,67.38,0.0102,0.0019,0.0102,0.0043
run_Few_shot_instruct_20250926_103055,bsw,1354,772,0,580,213,3,57.02,0.0013,0.0008,0.0013,0.0001
run_Few_shot_instruct_20250926_103055,linke,2449,1555,0,836,435,83,63.5,0.0019,0.0005,0.0019,0.0015
run_Few_shot_instruct_20250926_103055,cdu,2392,1224,0,1168,258,21,51.17,0.0016,0.0004,0.0016,0.0017
run_Few_shot_instruct_20250926_103055,gruene,3550,1596,0,1954,420,103,44.96,0.005,0.0006,0.005,0.0041
run_Few_shot_instruct_20250926_103055,spd,2140,1557,0,563,1372,35,72.76,0.0039,0.0002,0.0039,0.0
run_coding_instruct_20250926_103055,afd,2069,1541,0,526,61,2,74.48,0.0143,0.0011,0.0143,0.0098
run_coding_instruct_20250926_103055,fdp,1594,1401,0,155,143,40,87.89,0.0057,0.0006,0.0057,0.0017
run_coding_instruct_20250926_103055,sswb,2336,1597,0,673,184,68,68.36,0.0094,0.0008,0.0094,0.0028
run_coding_instruct_20250926_103055,bsw,1354,603,0,749,287,3,44.53,0.0033,0.0012,0.0033,0.0019
run_coding_instruct_20250926_103055,linke,2449,1294,0,1148,103,83,52.84,0.0023,0.0002,0.0023,0.0006
run_coding_instruct_20250926_103055,cdu,2392,1305,0,1068,500,21,54.56,0.0077,0.0023,0.0077,0.0102
run_coding_instruct_20250926_103055,gruene,3550,1427,0,2123,366,103,40.2,0.007,0.0005,0.007,0.005
run_coding_instruct_20250926_103055,spd,2140,1238,0,902,1089,35,57.85,0.0048,0.0002,0.0048,0.0001
run_category_scheme_20250925_094617,linke,2449,2097,0,270,217,83,85.63,0.0,0.0,0.0,0.0
run_category_scheme_20250925_094617,bsw,1354,1170,0,181,14,3,86.41,0.0,0.0,0.0,0.0
run_category_scheme_20250925_094617,cdu,2392,2349,0,22,1,21,98.2,0.0,0.0,0.0,0.0
run_category_scheme_20250925_094617,spd,2140,1851,0,254,559,35,86.5,0.0032,0.0,0.0032,0.0001
run_category_scheme_20250925_094617,gruene,3550,3273,0,277,8,103,92.2,0.0,0.0,0.0,0.0
run_category_scheme_20250925_094617,afd,2069,2067,0,0,20,2,99.9,0.0,0.0,0.0,0.0
run_category_scheme_20250925_094617,fdp,1594,1551,0,3,40,40,97.3,0.0,0.0,0.0,0.0
run_category_scheme_20250925_094617,sswb,2336,1967,0,301,1,68,84.2,0.0,0.0,0.0,0.0
run_cot_instruct_20250926_103055,afd,2069,1809,0,258,109,2,87.43,0.0088,0.0014,0.0088,0.0048
run_cot_instruct_20250926_103055,fdp,1594,1422,0,170,101,40,89.21,0.007,0.0012,0.007,0.0029
run_cot_instruct_20250926_103055,sswb,2336,1485,0,783,106,68,63.57,0.0067,0.0011,0.0067,0.0028
run_cot_instruct_20250926_103055,bsw,1354,581,0,771,241,3,42.91,0.0034,0.0015,0.0034,0.0052
run_cot_instruct_20250926_103055,linke,2449,1428,0,940,266,83,58.31,0.0014,0.0003,0.0014,0.0005
run_cot_instruct_20250926_103055,cdu,2392,1394,0,998,318,21,58.28,0.0036,0.0008,0.0036,0.0025
run_cot_instruct_20250926_103055,gruene,3550,1910,0,1590,692,103,53.8,0.001,0.0002,0.001,0.0004
run_cot_instruct_20250926_103055,spd,2140,1630,0,490,1484,35,76.17,0.0037,0.0001,0.0037,0.0
